1379.0,401.0,4676.0,3396.0,836.0,3055.0,736.0,2087.0,4392.0,821.0,1067.0,3036.0
464.0,397.0,492.0,501.0,371.0,563.0,387.0,638.0,569.0,456.0,407.0,605.0
411.0,368.0,500.0,496.0,372.0,409.0,357.0,417.0,432.0,355.0,389.0,415.0
605.0,372.0,404.0,400.0,434.0,548.0,350.0,481.0,462.0,377.0,373.0,707.0
352.0,378.0,394.0,417.0,364.0,423.0,368.0,372.0,548.0,370.0,461.0,383.0
371.0,411.0,463.0,446.0,446.0,557.0,362.0,461.0,474.0,405.0,384.0,427.0
372.0,391.0,388.0,433.0,429.0,450.0,385.0,449.0,376.0,423.0,407.0,391.0
385.0,408.0,399.0,399.0,490.0,508.0,402.0,420.0,424.0,399.0,453.0,428.0
432.0,411.0,463.0,458.0,488.0,515.0,462.0,519.0,463.0,425.0,558.0,537.0
473.0,544.0,534.0,484.0,755.0,582.0,481.0,474.0,471.0,548.0,544.0,687.0
564.0,613.0,648.0,994.0,596.0,653.0,609.0,700.0,596.0,593.0,655.0,761.0
795.0,776.0,870.0,874.0,811.0,1011.0,804.0,809.0,826.0,801.0,804.0,815.0
1311.0,1275.0,1313.0,1345.0,1351.0,1385.0,1248.0,1250.0,1340.0,1261.0,1261.0,1367.0
2250.0,2268.0,2254.0,2321.0,2246.0,2337.0,2275.0,2255.0,2281.0,2256.0,2251.0,2324.0
4404.0,4576.0,4815.0,4477.0,4395.0,4479.0,4400.0,4527.0,4453.0,4488.0,4428.0,4387.0
8872.0,9112.0,8985.0,8819.0,8822.0,8983.0,8743.0,8935.0,9014.0,8729.0,8796.0,9057.0
17587.0,17888.0,18271.0,17949.0,17907.0,18065.0,17962.0,18172.0,18565.0,17985.0,17892.0,18492.0
38296.0,38012.0,38431.0,38900.0,39603.0,37356.0,39087.0,38718.0,39360.0,38656.0,39741.0
93716.0,89688.0,92672.0,94443.0,89460.0,92577.0,91344.0,92192.0,94925.0,95291.0,89946.0
311699.0,288339.0,317005.0,336589.0,316966.0,312457.0,296175.0,269039.0,324583.0,272723.0,286797.0
900091.0,980422.0,881237.0,945305.0,909760.0,865795.0,905624.0,895264.0,922313.0,855805.0,906850.0
